original,romaji,russian,issue_date,status
時不動,Tokifudo,Токифудо,2026-09-10,требует проверки
霧島,Kirishima,Киришима,2026-09-10,требует проверки
阿炎,Abi,Аби,2026-09-10,требует проверки
朝紅龍,Asakoryu,Асакорю,2026-09-10,требует проверки
千代翔馬,Chiyoshoma,Чиёшома,2026-09-10,требует проверки
時疾風,Tokihayate,Токихаяте,2026-09-10,требует проверки
旭豊,Asahiyutaka,Асахиютака,2026-09-10,требует проверки
蒼国来,Sokokurai,Сококурай,2026-09-10,требует проверки
安美錦,Aminishiki,Аминишики,2026-09-10,требует проверки
若乃花,Wakanohana,Ваканохана,2026-09-10,требует проверки
境川部屋,Sakaigawa-beya,Сакаигава-бея,2026-09-10,требует проверки
音羽山部屋,Otowayama-beya,Отоваяма-бея,2026-09-10,требует проверки
花田虎上,Hanada Masaru,Ханада Масару,2026-09-10,требует проверки
時津風部屋,Tokitsukaze-beya,Токицукадзе-бея,2026-09-10,требует проверки
寿之富士,Kotobukinofuji,Котобукинофуджи,2026-09-14,требует проверки
旭海雄,Kyokukaio,Кёкукайо,2026-09-14,требует проверки
風賢央,Kazekeno,Кадзекено,2026-09-14,требует проверки
翔傑,Shoketsu,Шокецу,2026-09-14,требует проверки
駒ノ富士,Komanofuji,Команофуджи,2026-09-14,требует проверки
華吹,Hanakaze,Ханакадзе,2026-09-14,требует проверки
垣添,Kakizoe,Какидзое,2026-09-14,требует проверки
大当利,,не определён,2026-09-14,требует проверки
白熊,Hakkuma,Хаккума,2026-09-14,требует проверки
東白龍,Tohakuryu,Тохакурю,2026-09-14,требует проверки
栃大海,Tochidaikai,Точидайкай,2026-09-14,требует проверки
不動豊,Fudoyutaka,Фудоютака,2026-09-14,требует проверки
上戸,,не определён,2026-09-14,требует проверки
行徳,Gyotoku,Гётоку,2026-09-14,требует проверки
大森,Omori,Омори,2026-09-14,требует проверки
剣翔,Kensho,Кеншо,2026-09-14,требует проверки
竜電,Ryuden,Рюден,2026-09-14,требует проверки
